ID,X,Y,Longitud_WGS84,Latitud_WGS84,Longitud_NAD27,Latitud_NAD27
1104,271086.06,2227302.72,-101.19033578433026,20.132381704298297,-101.1900825077642,20.13117375980644
1318,271162.74,2226921.49,-101.18955473919172,20.12894833429881,-101.18930144224316,20.12774038675781
1319,271119.51,2226898.52,-101.18996514495527,20.12873578223287,-101.189711852795,20.127527833301425
5484,272056.57,2226565.94,-101.18096484268098,20.12584367024857,-101.18071142334256,20.1246357405788
1144,271494.05,2227290.88,-101.18643367525887,20.132323225864113,-101.18618034705396,20.131115291505523
1131,271278.62,2227346.64,-101.1885003208193,20.13280117025095,-101.18824702127604,20.13159323118953
1130,271274.61,2227339.44,-101.1885377537607,20.13273567862916,-101.18828445451888,20.13152773937252
5478,271545.89,2226680.91,-101.18586148245889,20.126821373813268,-101.18560813056249,20.125613432784288
5345,271603.99,2227013.82,-101.18534780889314,20.129834423847953,-101.18509445906268,20.128626488637774
5344,271617.88,2227011.3,-101.18521469804338,20.129813314823668,-101.1849613463954,20.128605379930576
5343,271531.78,2226627.49,-101.18598967250874,20.126337320807878,-101.18573632088268,20.125129378724424
5342,271578.13,2226898.08,-101.18558051502842,20.12878623126642,-101.1853271651915,20.12757829389078
5314,271857.75,2226959.04,-101.18291488057618,20.12936982601397,-101.18266149729511,20.128161896481103
5313,271508.01,2227290.64,-101.18630017927428,20.132322714458095,-101.18604684930708,20.13111478044827
5312,271502.16,2227275.75,-101.18635423887632,20.13218756469442,-101.18610090922546,20.13097963034248
5311,271496.21,2227295.83,-101.18641364601385,20.13236818030245,-101.18616031767668,20.13116024606301
1315,271164.89,2226838.88,-101.18952379742518,20.12820262697695,-101.18927049787932,20.12699467841004
5291,271163.35,2226889.66,-101.18954490513666,20.128660984027775,-101.1892916072148,20.127453036086
1312,271169.83,2226838.95,-101.18947657824488,20.128203845725217,-101.18922327807988,20.126995897283784
1335,271168.51,2226699.75,-101.18947169686679,20.126946722287958,-101.18921839294696,20.12573877199293
1336,271194.45,2226703.44,-101.18922416797355,20.126983122872826,-101.1889708608964,20.12577517328008
1253,271667.09,2226877.88,-101.18472748899134,20.128614369900287,-101.1844741274002,20.127406434502152
1142,271356.82,2227196.26,-101.18773378495327,20.131452530935398,-101.18748047134044,20.130244591880235
1109,271107.5,2227191.52,-101.1901168176757,20.13138012414548,-101.18986353528032,20.13017217874121
1119,271186.89,2227205.26,-101.18935953636063,20.131513625840107,-101.1891062443695,20.130305682617653
1093,270912.58,2227275.41,-101.19199091240407,20.13211447589375,-101.19173765688288,20.13090652666868
1063,270838.93,2227178.75,-101.19268287300154,20.131232885514486,-101.19242962401668,20.130024933168205
5289,271163.24,2226896.69,-101.1895468407057,20.128724451382617,-101.18929354299569,20.12751650352998
349,271555.66,2227641.93,-101.18588872538068,20.13550049600115,-101.1856353993135,20.13429256778388
5264,271471.26,2227277.18,-101.18664984044311,20.132196812296776,-101.18639651471833,20.130988877184578
1221,272047.61,2226581.11,-101.18105240209643,20.125979595326,-101.18079898431118,20.124771665629208
1189,271834.8,2226982.98,-101.18313729395842,20.12958328594916,-101.18288391423684,20.12837535615132
1094,270966.12,2227283.81,-101.19148009821126,20.1321966930409,-101.19122683619442,20.13098874527635
405,271430.67,2227414.77,-101.18705518862035,20.133434426716526,-101.18680187187488,20.13222649237944
5241,272046.37,2226579.51,-101.18106405642229,20.125965000675233,-101.18081063874796,20.124757070926258
5204,271959.0,2226791.99,-101.18192595506699,20.127873354124045,-101.18167255435463,20.12666542495584
1216,272087.65,2226577.62,-101.18066917309163,20.12595281638719,-101.18041575017398,20.12474488765288
350,271553.67,2227642.15,-101.18590777897286,20.1355022465725,-101.18565445316216,20.134294318307944
354,271693.96,2227472.51,-101.18454520713018,20.133987038495913,-101.18429185889867,20.13277911155056
1192,272136.37,2226876.68,-101.18024083812003,20.128659086192723,-101.17998741748688,20.127451162599517
5193,271256.77,2227335.04,-101.18870776173593,20.132693828717752,-101.1884544646136,20.13148588895373
1120,271146.88,2227210.89,-101.18974276087326,20.131559712060533,-101.18948947407183,20.13035176790262
1295,271444.52,2226703.58,-101.18683345225834,20.12701406264333,-101.1865801137451,20.12580611935623
1282,271423.5,2226943.04,-101.18706448267994,20.12917388063067,-101.18681115355162,20.12796593994572
346,271799.3,2227822.62,-101.183582,20.137161,-101.18332864837642,20.135953080285358
356,271682.95,2227386.02,-101.18463961694954,20.133204732657433,-101.18438626766772,20.13199680430396
1162,271654.25,2227161.36,-101.18488581428134,20.13117266098772,-101.18463246228416,20.129964728973583
368,271545.31,2227627.32,-101.18598584482338,20.13536734094037,-101.18573251964646,20.134159412271277
1115,271159.42,2227084.08,-101.18960692473604,20.130416116353754,-101.18935363278516,20.129208170854607
1247,271857.44,2226925.07,-101.18291358583801,20.12906304119118,-101.18266020164006,20.127855111206102
1181,271853.97,2227225.05,-101.1829843692056,20.131771440590878,-101.18273099388549,20.130563514442173
1171,271662.87,2227237.21,-101.18481292047252,20.13185860488968,-101.18455956952664,20.13065067408457
1174,272010.43,2227148.95,-101.1814789854439,20.131102781339518,-101.1812255883066,20.129894858136925
1242,271812.72,2226723.69,-101.18331587923502,20.12723929038483,-101.18306249499383,20.12603135663836
1233,271920.24,2226623.22,-101.18227536566354,20.126344777534488,-101.18202196507708,20.12513684518138
1321,271252.06,2226779.15,-101.18868291705873,20.127673618886924,-101.18842960487083,20.1264656717368
1310,271240.16,2226833.88,-101.18880356349398,20.12816641466292,-101.18855025434364,20.126958467928496
1322,271205.36,2226769.76,-101.18912820229895,20.12758328355092,-101.18887489571802,20.12637533510058
1254,271640.56,2226763.07,-101.18496672048187,20.12757449625213,-101.1847133589951,20.126366558683564
1185,271654.93,2227031.06,-101.1848629629021,20.12999613807374,-101.18460960715151,20.12878820437276
1294,271490.37,2226794.76,-101.18640656148742,20.12784285111727,-101.1861532197764,20.12663491017845
1290,271372.48,2226876.95,-101.18754395147894,20.12857103854121,-101.18729062690473,20.127363095705874
352,271691.71,2227600.37,-101.1845827640273,20.135141341946028,-101.18432941967863,20.133933416615186
353,271704.47,2227594.62,-101.1844600469939,20.135090932076732,-101.1842067008785,20.13388300699235
348,271702.08,2227626.33,-101.18448687654535,20.135376988696677,-101.18423353162332,20.13416906396649
358,271636.61,2227487.95,-101.1850954513558,20.13411966302265,-101.18484211077168,20.13291173483362
357,271574.04,2227414.99,-101.18568450459762,20.13345341920128,-101.18543116982812,20.132245488481416
1135,271534.02,2227348.34,-101.18605875325629,20.13284682724547,-101.18580542164294,20.13163889464558
5148,271393.23,2227453.98,-101.18741806610763,20.133784047924618,-101.18716475517502,20.13257611315598
1133,271506.31,2227291.39,-101.1863165264611,20.132329285288748,-101.1860631967288,20.13112135124588
1095,271021.65,2227299.26,-101.19095114500931,20.13234280621305,-101.19069787644516,20.131134860051244
1159,271624.57,2227106.84,-101.18516272849637,20.130676829835473,-101.18490937869664,20.12946889636042
5112,271545.52,2226679.17,-101.18586480136253,20.126805617826594,-101.18561144946366,20.12559767676552
5108,271860.72,2226955.94,-101.18288609747619,20.129342184764496,-101.1826327137344,20.12813425526589
1190,271865.9,2226961.03,-101.1828372125025,20.12938876064159,-101.1825838282526,20.12818083134008
1151,271519.76,2227031.02,-101.1861552444746,20.1299797525674,-101.18590190571972,20.128771815459302
1053,270889.22,2227338.56,-101.19222219821043,20.132681936862152,-101.19196894740668,20.13147398787276
1106,271088.71,2227189.25,-101.19029617407165,20.131357393741812,-101.19004289397506,20.130149447833944
1089,270962.61,2227182.18,-101.19150086355164,20.13127856533355,-101.19124759911192,20.13007061615244
1141,271348.07,2227196.4,-101.18781745717116,20.131452756672793,-101.1875641446626,20.130244817398847
371,271547.29,2227627.04,-101.1859668793209,20.135365047393186,-101.1857135538871,20.13415711877034
5087,271477.62,2227285.28,-101.1865900524341,20.13227070929328,-101.18633672613764,20.131062774447305
1148,271473.58,2227275.81,-101.18662748783207,20.132184716476676,-101.18637416177694,20.13097678140505
1147,271469.72,2227287.1,-101.18666580964626,20.132286206673367,-101.1864124843945,20.131078271652022
5086,271469.37,2227285.15,-101.18666891093925,20.13226855676134,-101.18641558567656,20.13106062170567
1309,271277.06,2226904.42,-101.18845965252011,20.128807766842478,-101.18820634071696,20.1275998219608
10011,271954.02,2226592.16,-101.18194852894186,20.12606830404021,-101.18169512323452,20.124860372131284
