Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Sur,E0,00:00:00,763FD,0.08,0.02,0.02,0.0
Sur,E0,00:00:00,763FE,0.02,0.01,0.00,0.0
Sur,E0,00:00:00,76553,-0.28,0.06,0.07,0.0
Sur,E0,00:00:00,76555,0.16,0.04,0.03,0.0
Sur,E0,00:00:00,76557,-1.31,0.30,1.35,0.0
Sur,E0,00:00:00,76559,0.03,0.01,0.00,0.0
Sur,E0,00:00:00,7655D,0.00,0.00,0.00,0.0
Sur,E0,00:00:00,765EB,0.00,0.00,0.00,0.0
Sur,E0,00:00:00,765EC,0.04,0.01,0.00,0.0
Sur,E0,00:00:00,765ED,0.04,0.01,0.00,0.0
Sur,E0,00:00:00,765EE,0.14,0.03,0.02,0.0
Sur,E0,00:00:00,765EF,-0.21,0.05,0.04,0.0
Sur,E0,00:00:00,765F0,-0.12,0.03,0.01,0.0
Sur,E0,00:00:00,765F1,-0.19,0.04,0.04,0.0
Sur,E0,00:00:00,765F2,0.10,0.02,0.01,0.0
Sur,E0,00:00:00,765F3,-0.01,0.00,0.00,0.0
Sur,E0,00:00:00,765F4,0.04,0.01,0.00,0.0
Sur,E0,00:00:00,765F6,0.02,0.00,0.00,0.0
Sur,E0,00:00:00,765F7,0.02,0.00,0.00,0.0
Sur,E0,00:00:00,765F8,-0.14,0.03,0.02,0.0
Sur,E0,00:00:00,765F9,-0.09,0.02,0.01,0.0
Sur,E0,00:00:00,765FA,-0.07,0.02,0.00,0.0
Sur,E0,00:00:00,765FB,0.00,0.00,0.00,0.0
Sur,E0,00:00:00,765FC,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,765FD,-0.03,0.01,0.00,0.0
Sur,E0,00:00:00,765FE,0.00,0.00,0.00,0.0
Sur,E0,00:00:00,765FF,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76600,0.04,0.01,0.00,0.0
Sur,E0,00:00:00,76601,-0.06,0.01,0.00,0.0
Sur,E0,00:00:00,76602,-0.06,0.01,0.00,0.0
Sur,E0,00:00:00,76603,0.03,0.01,0.00,0.0
